window_idx,start_pos,majority_label,attack_frac,W2_c2,W2_network,W2_physical,W2_c2_only,W2_network_only,W2_physical_only,W2_c2_network,W2_c2_physical,W2_network_physical,W2_all_three,Z2_c2,Z2_network,Z2_physical,Z2_c2_only,Z2_network_only,Z2_physical_only,Z2_c2_network,Z2_c2_physical,Z2_network_physical,Z2_all_three
0,0,Normal Traffic,0.68,1.7396190259138093,0.3435331212674358,1.1268309352237513,1.7396190259138093,0.3435331212674358,1.1268309352237513,2.083152147181245,2.866449961137561,1.470364056491187,3.2099830824049964,3.356679489633129,3.077059703124067,3.8228476657763393,3.356679489633129,3.077059703124067,3.8228476657763393,6.433739192757196,7.179527155409469,6.899907368900406,10.256586858533534
1,100,Normal Traffic,0.72,1.751538453058429,0.43913754733214916,0.9354288820425969,1.751538453058429,0.43913754733214916,0.9354288820425969,2.190676000390578,2.686967335101026,1.3745664293747462,3.126104882433175,3.393698505223796,4.4832095867419,2.798258380345241,3.393698505223796,4.4832095867419,2.798258380345241,7.876908091965696,6.191956885569037,7.281467967087141,10.675166472310938
2,200,Sybil Attack,0.8,1.7487858868288069,0.44181018037254827,1.1367256877959728,1.7487858868288069,0.44181018037254827,1.1367256877959728,2.190596067201355,2.88551157462478,1.578535868168521,3.3273217549973277,3.3851496638296257,4.522518673082385,3.8758150049401188,3.3851496638296257,4.522518673082385,3.8758150049401188,7.90766833691201,7.260964668769745,8.398333678022503,11.78348334185213
3,300,Normal Traffic,0.73,1.7270934948587044,0.46804353693616263,0.9422019981782084,1.7270934948587044,0.46804353693616263,0.9422019981782084,2.195137031794867,2.6692954930369126,1.410245535114371,3.1373390299730755,3.3177780538691106,4.908358877320026,2.8345153697880865,3.3177780538691106,4.908358877320026,2.8345153697880865,8.226136931189137,6.152293423657197,7.742874247108112,11.060652300977223
4,400,Wormhole Attack,0.77,1.7673879860903725,0.45785288506035743,1.1210217175647887,1.7673879860903725,0.45785288506035743,1.1210217175647887,2.22524087115073,2.888409703655161,1.5788746026251461,3.346262588715519,3.442923531166353,4.758474771123376,3.791750495860002,3.442923531166353,4.758474771123376,3.791750495860002,8.201398302289729,7.2346740270263545,8.550225266983379,11.993148798149731
5,500,Blackhole Attack,0.84,1.658783172801695,0.4001398098039829,1.1703284632166375,1.658783172801695,0.4001398098039829,1.1703284632166375,2.058922982605678,2.8291116360183324,1.5704682730206203,3.2292514458223156,3.1056218112452005,3.909630869272569,4.055693136258673,3.1056218112452005,3.909630869272569,4.055693136258673,7.0152526805177695,7.1613149475038735,7.965324005531242,11.070945816776442
6,600,Blackhole Attack,0.77,1.8536900068148594,0.41853442969392474,1.2207178144843638,1.8536900068148594,0.41853442969392474,1.2207178144843638,2.2722244365087843,3.074407821299223,1.6392522441782886,3.4929422509931483,3.710957876436713,4.180178935738947,4.325431044241676,3.710957876436713,4.180178935738947,4.325431044241676,7.89113681217566,8.03638892067839,8.505609979980623,12.216567856417337
7,700,Wormhole Attack,0.82,1.7372644352643132,0.47690891638558824,1.2368392493636686,1.7372644352643132,0.47690891638558824,1.2368392493636686,2.2141733516499014,2.974103684627982,1.7137481657492568,3.45101260101357,3.3493666694022766,5.0387508768766125,4.411730272325073,3.3493666694022766,5.0387508768766125,4.411730272325073,8.388117546278888,7.76109694172735,9.450481149201686,12.799847818603961
8,800,Blackhole Attack,0.83,1.6678447524277642,0.38929488701566645,1.0942857715408787,1.6678447524277642,0.38929488701566645,1.0942857715408787,2.0571396394434305,2.7621305239686427,1.4835806585565452,3.1514254109843094,3.1337650058285864,3.7501237465969584,3.648631007972191,3.1337650058285864,3.7501237465969584,3.648631007972191,6.883888752425545,6.782396013800778,7.398754754569149,10.532519760397737
9,900,Normal Traffic,0.75,1.827040133194933,0.44359012101688805,1.0748553446267086,1.827040133194933,0.44359012101688805,1.0748553446267086,2.270630254211821,2.9018954778216415,1.5184454656435966,3.34548559883853,3.628189461893343,4.548698039801149,3.544618501853626,3.628189461893343,4.548698039801149,3.544618501853626,8.176887501694491,7.172807963746969,8.093316541654776,11.721506003548118
10,1000,Wormhole Attack,0.76,1.9523399168684925,0.4755463508583104,1.0424488735826156,1.9523399168684925,0.4755463508583104,1.0424488735826156,2.427886267726803,2.994788790451108,1.517995224440926,3.470335141309419,4.017341942884221,5.0187102633143645,3.3711442759581223,4.017341942884221,5.0187102633143645,3.3711442759581223,9.036052206198587,7.388486218842344,8.389854539272488,12.40719648215671
11,1100,Wormhole Attack,0.79,1.5357015264668348,0.4525123071313736,0.9895670260893258,1.5357015264668348,0.4525123071313736,0.9895670260893258,1.9882138335982082,2.5252685525561605,1.4420793332206994,2.977780859687534,2.7233583576989515,4.679925551778558,3.0880638521334887,2.7233583576989515,4.679925551778558,3.0880638521334887,7.403283909477509,5.81142220983244,7.767989403912047,10.491347761610998
12,1200,Wormhole Attack,0.8,1.9266180055157844,0.4320595192045112,1.2120810936942263,1.9266180055157844,0.4320595192045112,1.2120810936942263,2.358677524720296,3.138699099210011,1.6441406128987375,3.570758618414522,3.937455566984229,4.379105950146823,4.27919804184823,3.937455566984229,4.379105950146823,4.27919804184823,8.316561517131051,8.216653608832459,8.658303991995052,12.595759558979282
13,1300,Blackhole Attack,0.82,1.8486505028611155,0.5251962538890219,1.033846499634934,1.8486505028611155,0.5251962538890219,1.033846499634934,2.3738467567501376,2.8824970024960495,1.559042753523956,3.4076932563850715,3.6953063293305175,5.748961029330309,3.325095134741626,3.6953063293305175,5.748961029330309,3.325095134741626,9.444267358660827,7.020401464072144,9.074056164071935,12.769362493402454
14,1400,Wormhole Attack,0.81,1.5217620780869432,0.36410984633577254,1.2964518584253177,1.5217620780869432,0.36410984633577254,1.2964518584253177,1.8858719244227158,2.8182139365122607,1.6605617047610903,3.1823237828480337,2.6800656179859157,3.379702172213237,4.730840958475081,2.6800656179859157,3.379702172213237,4.730840958475081,6.059767790199153,7.410906576460997,8.110543130688319,10.790608748674234
15,1500,Wormhole Attack,0.81,1.6776864493305477,0.4439093557361954,1.3033636238067652,1.6776864493305477,0.4439093557361954,1.3033636238067652,2.121595805066743,2.981050073137313,1.7472729795429607,3.4249594288735086,3.16433106631642,4.553393344002829,4.767840147540948,3.16433106631642,4.553393344002829,4.767840147540948,7.717724410319249,7.932171213857368,9.321233491543776,12.485564557860197
16,1600,Normal Traffic,0.74,1.8674885523141858,0.47589486607667575,1.0793272635957494,1.8674885523141858,0.47589486607667575,1.0793272635957494,2.3433834183908617,2.946815815909935,1.5552221296724251,3.422710681986611,3.753813004017124,5.023836225091613,3.568557013404799,3.753813004017124,5.023836225091613,3.568557013404799,8.777649229108738,7.322370017421923,8.592393238496411,12.346206242513537
17,1700,Wormhole Attack,0.81,1.8858773927017385,0.49605329041061935,0.9523142147460779,1.8858773927017385,0.49605329041061935,0.9523142147460779,2.381930683112358,2.8381916074478166,1.4483675051566973,3.3342448978584356,3.8109245380482197,5.320326327044705,2.8886468097345106,3.8109245380482197,5.320326327044705,2.8886468097345106,9.131250865092925,6.69957134778273,8.208973136779216,12.019897674827435
